"Part","Value","Device","Package","Description","ARROW_PART_NUMBER","ARROW_PRICE-STOCK","AVAILABILITY","DESCRIPTION","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MF","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK","MP","PACKAGE","POPULARITY","PRICE","PURCHASE-URL","SPICEPREFIX",
"C1","100nF","C-EUC0603","C0603","CAPACITOR, European symbol","","","","","","","","","","","","","73","","","C",
"C2","100nF","C-EUC0603","C0603","CAPACITOR, European symbol","","","","","","","","","","","","","73","","","C",
"C3","100nF","C-EUC0603","C0603","CAPACITOR, European symbol","","","","","","","","","","","","","73","","","C",
"C4","100nF","C-EUC0603","C0603","CAPACITOR, European symbol","","","","","","","","","","","","","73","","","C",
"C5","1uF","C-EUC0603","C0603","CAPACITOR, European symbol","","","","","","","","","","","","","73","","","C",
"C6","100nF","C-EUC0603","C0603","CAPACITOR, European symbol","","","","","","","","","","","","","73","","","C",
"C7","100nF","C-EUC0603","C0603","CAPACITOR, European symbol","","","","","","","","","","","","","73","","","C",
"C8","1uF","C-EUC0603","C0603","CAPACITOR, European symbol","","","","","","","","","","","","","73","","","C",
"C9","1uF","C-EUC0603","C0603","CAPACITOR, European symbol","","","","","","","","","","","","","73","","","C",
"C10","1uF","C-EUC0603","C0603","CAPACITOR, European symbol","","","","","","","","","","","","","73","","","C",
"C11","1uF","C-EUC0603","C0603","CAPACITOR, European symbol","","","","","","","","","","","","","73","","","C",
"IC1","ATSAMD21J17D-AU","ATSAMD21J17D-AU","QFP50P1200X1200X120-64N","64TQFP IND TEMP, GREEN,1.6-3.6V,48MHz","ATSAMD21J17D-AU","https://www.arrow.com/en/products/atsamd21j17d-au/microchip-technology","","64TQFP IND TEMP, GREEN,1.6-3.6V,48MHz","1.2mm","Microchip","ATSAMD21J17D-AU","","556-ATSAMD21J17D-AU","https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/ATSAMD21J17D-AU?qs=byeeYqUIh0NPvYgWKbAwYw%3D%3D","","","","","","",
"IC2","AT42QT2120-XU","AT42QT2120-XU","SOP65P638X120-20N","Capacitive Touch Sensors  12 channel AT42QT2120-XU, Spread-Spectrum Charge-Transfer Touch Screen Controller Serial-I2C, 20-Pin TSSOP","AT42QT2120-XU","https://www.arrow.com/en/products/at42qt2120-xu/microchip-technology","","Capacitive Touch Sensors  12 channel AT42QT2120-XU, Spread-Spectrum Charge-Transfer Touch Screen Controller Serial-I2C, 20-Pin TSSOP","1.2mm","Microchip","AT42QT2120-XU","","556-AT42QT2120-XU","https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Atmel/AT42QT2120-XU?qs=B3NtdMthFzEeaO%2FEAF407g%3D%3D","","","","","","",
"IC3","ABPDANV030PGSA3","ABPDANV030PGSA3","ABPDANV030PGSA3","Sensor: pressure, Range:030psi, gage, Output conf: SPI, Case: DIP","","","","Sensor: pressure"," Range:030psi"," gage"," Output conf: SPI"," Case: DIP","10.63mm","Honeywell","ABPDANV030PGSA3","","785-ABPDANV030PGSA3","https://www.mouser.co.uk/ProductDetail/Honeywell/ABPDANV030PGSA3?qs=OTrKUuiFdkYa4Au8z5Vftw%3D%3D","","",
"IC4","74LVC2G34GW,125","74LVC2G34GW,125","SOP65P210X110-6N","74LVC2G34 - Dual buffer gate@en-us","74LVC2G34GW,125","https://www.arrow.com/en/products/74lvc2g34gw125/nexperia","","74LVC2G34 - Dual buffer gate@en-us","1.1mm","Nexperia","74LVC2G34GW,125","","771-LVC2G34GW125","https://www.mouser.co.uk/ProductDetail/Nexperia/74LVC2G34GW125/?qs=me8TqzrmIYUOkg5J0C6mqA%3D%3D","","","","","","",
"IC5","MIC5504-3.3YM5-TR","MIC5504-3.3YM5-TR","SOT95P280X145-5N","MICROCHIP - MIC5504-3.3YM5-TR - LDO VOLT REG, 0.3A, 3.3V, SOT-23-5","MIC5504-3.3YM5-TR","https://www.arrow.com/en/products/mic5504-3.3ym5-tr/microchip-technology","","MICROCHIP - MIC5504-3.3YM5-TR - LDO VOLT REG, 0.3A, 3.3V, SOT-23-5","1.45mm","Microchip","MIC5504-3.3YM5-TR","","998-MIC5504-3.3YM5TR","https://www.mouser.co.uk/ProductDetail/Microchip-Technology-Micrel/MIC5504-33YM5-TR/?qs=U6T8BxXiZAUmVQ5Zs217qQ%3D%3D","","","","","","",
"IC6","TLV320AIC23BPW","TLV320AIC23BPW","SOP65P640X120-28N","TLV320AIC23BPWG4, Audio Codec 2 (ADC), 2 (DAC)-channel 32bit- 96ksps Serial-SPI 28-Pin TSSOP","TLV320AIC23BPW","https://www.arrow.com/en/products/tlv320aic23bpw/texas-instruments","","TLV320AIC23BPWG4, Audio Codec 2 (ADC), 2 (DAC)-channel 32bit- 96ksps Serial-SPI 28-Pin TSSOP","1.2mm","Texas Instruments","TLV320AIC23BPW","","595-TLV320AIC23BPW","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV320AIC23BPW/?qs=m96fseALk3VZOvtNFlSOrg%3D%3D","","","","","","",
"J1","PRT-09536","PRT-09536","PRT09536","SparkFun Accessories MIDI Connector - Female Right Angle","","","","SparkFun Accessories MIDI Connector - Female Right Angle","19.5mm","SparkFun","PRT-09536","","474-PRT-09536","https://www.mouser.co.uk/ProductDetail/SparkFun/PRT-09536?qs=WyAARYrbSnYl1e2cwkZPbQ%3D%3D","","","","","","",
"J2","STX-3120-5B","STX-3120-5B","STX31205B","KYCON - STX-3120-5B - STEREO JACK, 3.5MM, 5POS, PBT GF, PCB","","","","KYCON - STX-3120-5B - STEREO JACK, 3.5MM, 5POS, PBT GF, PCB","10mm","Kycon","STX-3120-5B","","806-STX-3120-5B","https://www.mouser.co.uk/ProductDetail/Kycon/STX-3120-5B/?qs=3kl6BaT4OLI2eL%2FHybGK%2FQ%3D%3D","","","","","","",
"J3","614105150721","614105150721","WURTH_614105150721","Vertical Through Hole, sion 2.0 Micro USB Connector Socket Check prices","","","Warning"," USB - micro B USB 2.0 Receptacle Connector 5 Position Through Hole ","","","","WÃ¼rth Elektronik","","","614105150721","None","","None","https://pricing.snapeda.com/search/part/614105150721/?ref=eda","",
"JP1","","PINHD-1X11","1X11","PIN HEADER","","","","","","","","","","","","","12","","","",
"JP2","","PINHD-1X5","1X05","PIN HEADER","","","","","","","","","","","","","69","","","",
"KEYS","","PINHD-1X5","1X05","PIN HEADER","","","","","","","","","","","","","69","","","",
"LED1","APTD1608LCGCK","APTD1608LCGCK","APT1608CGCK","Standard LEDs - SMD 0603 Dome Lens LED Green- 570nm","","","","Standard LEDs - SMD 0603 Dome Lens LED Green- 570nm","mm","Kingbright","APTD1608LCGCK","","604-APTD1608LCGCK","https://www.mouser.co.uk/ProductDetail/Kingbright/APTD1608LCGCK/?qs=AQlKX63v8Rv%252Bp7eo1xBjCA%3D%3D","","","","","","",
"R1","1k","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","","","","77","","","R",
"R2","1k","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","","","","77","","","R",
"R3","47k","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","","","","77","","","R",
"R4","10k","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","","","","77","","","R",
"R5","10k","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","","","","77","","","R",
"R6","47R","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","","","","77","","","R",
"R7","700R","R-US_R0603","R0603","RESISTOR, American symbol","","","","","","","","","","","","","77","","","R",
"S1","DTS-6","DTS-6","DTS-6","","","","","","","","","","","","","","","","","",
"SWD","PHB_1MM27_2X05_SNT","PHB_1MM27_2X05_SNT","PHB_1MM27_2X05_SNT","Pin Header Box-Type, 1.27mm/0.5"/50mil Pitch, 2x05 Circuits","","","","","","","","","","","","","","","","",
"TLV73315PDBVT","TLV73333PDBVT","TLV73333PDBVT","SOT95P280X145-5N","Capacitor-free 300-mA low-dropout (LDO) regulator with foldback current limit for portable devices","TLV73333PDBVT","https://www.arrow.com/en/products/tlv73333pdbvt/texas-instruments","","Capacitor-free 300-mA low-dropout (LDO) regulator with foldback current limit for portable devices","1.45mm","Texas Instruments","TLV73333PDBVT","","595-TLV73333PDBVT","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TLV73333PDBVT/?qs=ifm8N2Kdrcam8xfmi4tOsQ%3D%3D","","","","","","",
"U$1","KEYS","KEYS","KEYS","","","","","","","","","","","","","","","","","",
